,,,
Botanical Name,Family,Common Name,Properties / Uses
Turnera ulmifolia,TURNERACEAE,West Indian holly,"treats nervous exhaustion, anxiety, depression, impotence, prostate and urinary complaints, menstru+G482al  and menopausal problems, poor appetite, digestion problems"
Tussilago farfara,ASTERACEAE,coltsfoot,"bittersweet, astringent, expectorant, licorice-like flavor, relaxes spasms, controls coughing, soothing, anti-inflammatory, stimulates immune system; treats respiratory ailments, ulcers, sores, eczema, insect bites; high in vitamins and minerals"
Typha latifolia,TYPHACEAE,cattail,"sweet, acrid, diuretic, controls bleeding, promotes healing, improves circulation, stimulates uterus; treats hemorrhages, painful menstruation, post-partum pain, abscesses, cancer of lymphatic system"
Urtica dioica,URTICACEAE,stinging nettle,"iron tonic, mild diuretic, antihistamine, strengthening, styptic; treats Fe deficiency anemia, for lethargy, weakness, nettle rash, insect bites, allergies to strawberries, urinary gravel, water retention, arthritis"
Vaccinium macrocarpon,ERICACEAE,cranberry,antiseptic action on urinary system; controls asthma; improves health of circulatory system; aid in treatment of kidney stones
Valeriana officinalis,VALERIANACEAE,common valerian,"sedative, calms the heart, antispasmodic,  carminative, nerve restorative; treats insomnia, anxiety, confusion, migraines, depression, high blood pressure due to stress"
Vanilla planifolia,ORCHIDACEAE,vanilla,"aromatic, stimulant, tendency towards nervous system, vanilloids present; treats hysteria, impotency, rheumatism, lowers fevers"
Verbascum nigrum,SCROPHULARIACEAE,black mullein,"bitter, cooling, antiseptic; treats teething and earache"
Verbascum thapsus,SCROPHULARIACEAE,mullein,"bitter, cooling, mucilaginous, diuretic, analgesic, antiseptic, clears mucus, heals wounds, soothing expectorant; treats ticklish coughs, bronchitis, helps with asthma; for itchy ears, chronic earache, itchy eyelids; also tuberculosis, insomnia more…"
Verbena officinalis,VERBENACEAE,speedwell,"tonic, fever herb, diuretic, nerve restorative, antispasmodic, carminative, emmenogogue,  promotes milk flow; treats nervous conditions, headaches, menstrual conditions etc."
Veronica hederifolia,VERBENACEAE,speedwell,"astringent, alterative,  expectorant, weak diuretic; treats upset stomach, bronchitis, arthritis, rheumatism, skin complaints, minor injuries"
Veronicastrum virginicum,VERBENACEAE,culver's root,"purgative, increases perspiration, antispasmodic, sti+G492mulates  liver and gall bladder; treats chronic constipation, indigestion due to liver disorders and gall bladder inflammation"
Vetiveria zizanoides,GRAMINEAE,vetiver,"aromatic, sedative, antiseptic, increases red blood cells; treats arthritis, chakra blockage, nervousness, insomnia, rheumatism, stress, anorexia, postnatal depression, fatigue, menopause, circulatory ailments"
Viburnum opulus,CAPRIFOLIACEAE,crampbark,"bitter, astringent, sedative, relaxes spasms, regulates uterine function; treats painful menstruation, ovarian  and postpartum pain, threatened miscarriage, hypertension, nervous constipation, muscular cramps"
Vicia faba,FABACEAE,broad bean,"nutritive, diuretic, lithontripic; WARNING -excessive causes
'Favism' - severe haemolytic anemia"
Vigna unguiculata,FABACEAE,cowpea,"nutritive, high in vitamins and minerals; treats stubborn boils"
Vinca major,APOCYNACEAE,greater periwinkle,"astringent, controls bleeding; treats excessive menstruation, vaginal discharge, hardening of arteries, nose bleed, sore throat, mouth ulcers"
Viola tricolor,VIOLACEAE,heartsease,"bittersweet, cooling, laxative, diuretic, lowers fevers, cleanses toxins, reduces inflammation, expectorant, promotes healing; treats urinary problems, excess mucus, sore throat, coughs, bronchial complaints; also skin complaints and varicose ulcers"
Vitex agnus-castus,VERBENACEAE,chaste tree,"balances hormones; treats PMS with irritability, breast pain and water retention; also menopausal symptoms; esp. mood swings and depression"
Vitis vinifera,VITACEAE,grape,"sour, astringent, cooling, diuretic, reduces inflammation, controls bleeding, improves circulation, clears toxins; treats varicose veins, excessive menstruation, hemorrhage, urinary complaints, high cholesterol, hypertension, poor liver function, more…"
Wedelia trilobata,ASTERACEAE,rabbit's paw,"treats hepatitis, indigestion due to liver problems, urinary complaints, backache, muscle cramps, rheumatism, swellings, painful joints"
Withania somnifera,SOLANACEAE,ashwagandha,"general health tonic, treats coughs, colds, bronchitis, ulcers, leprosy, senile dementia, nervous disorders, intestinal infections, asthma, conjunctivitis, insect repellent"
Woodwardia orientalis,BLECHNACEAE,Oriental chain fern,"antiviral; treats herpes simplex virus, poliovirus, measles"
Woodwardia radicans,BLECHNACEAE,chain fern,"anthelminthic, astringent; treats pain from injuries"
Xiphidium caeruleum,HAEMODORACEAE,cola de paloma,"treats stomach aches, constipation"
Zea mays,GRAMINEAE,corn,"sweet, cooling, soothing, diuretic, lowers blood sugar, stimulates bile, prevents urinary stones, high in Vit. A, C, Zinc, potassium; cleanses kidney and urinary tract; treats disorders of the prostate, cystitis, urinary stones, inflammation of urethra"
Zea mays' Quadricolor',GRAMINEAE,variegated corn,"sweet, cooling, soothing, diuretic, lowers blood sugar, stimulates bile, prevents urinary stones, high in Vit. A, C, Zinc, potassium; cleanses kidney and urinary tract; treats disorders of the prostate, cystitis, urinary stones, inflammation of urethra"
Zebrina pendula,COMMELINACEAE,wandering jew,"treats diabetes, leuccorrhea, neuralgia, hemorrhaging; also for calluses"
Zingiber officinale,ZINGIBERACEAE,ginger,"sweet, pungent, aromatic, warming, expectorant, improves digestion, liver function, increases perspiration; treats morning sickness, indigestion, colic, colds, cough, chills,  motion sickness, peripheral circulatory problems,  gastric ulcers"
